P2ACE,P1NETPOINTWON,P1BREAKPOINTWON,P1ACE,P1FIRSTSRVWON,P1FIRSTSRVIN,P2UNFERR,P1DOUBLEFAULT,P2NETPOINT,P1FORCEDERROR,P2BREAKPOINTMISSED,P2NETPOINTWON,P2DOUBLEFAULT,P2SECONDSRVIN,P2FIRSTSRVIN,P2SECONDSRVWON,P2WINNER,P2BREAKPOINTWON,P1SECONDSRVIN,P1WINNER,P2BREAKPOINT,P2FORCEDERROR,P1NETPOINT,P1BREAKPOINTMISSED,P1UNFERR,P2FIRSTSRVWON,P1BREAKPOINT,P1SECONDSRVWON,SURF_CODE,WINNER
0,4,6,4,16,19,18,3,2,2,4,0,0,9,17,0,0,0,13,25,4,6,5,0,10,2,6,9,0,Player1
12,11,3,2,42,58,56,3,25,25,2,10,7,32,53,16,33,0,31,21,2,26,15,3,23,39,6,24,0,Player1
4,11,3,26,62,77,21,4,10,25,3,6,5,29,58,17,27,1,25,60,4,27,13,2,38,43,5,14,0,Player1
8,8,0,1,28,48,28,3,13,28,5,12,0,25,42,16,33,6,24,11,11,17,14,1,25,34,1,11,0,Player2
9,11,3,3,43,67,39,5,93,35,5,57,5,37,67,21,66,6,40,22,11,39,27,7,20,50,10,19,0,Player2
10,34,6,6,87,136,62,6,42,57,23,23,5,67,104,34,53,7,68,65,30,66,50,6,83,74,12,38,0,Player1
5,14,7,7,38,53,44,1,27,14,1,16,4,40,51,21,22,3,32,31,4,26,26,8,44,30,15,19,0,Player1
12,19,8,4,69,104,76,3,51,49,5,37,2,48,83,20,52,6,40,39,11,31,29,5,33,55,13,19,0,Player1
4,17,3,5,40,60,32,0,15,30,6,13,2,25,62,15,32,5,44,30,11,24,26,0,45,49,3,21,0,Player2
4,18,5,12,35,40,27,0,14,21,0,9,2,30,48,10,20,0,28,47,0,15,26,3,18,34,8,18,0,Player1
11,29,5,14,52,71,46,7,61,56,7,40,5,51,110,24,49,6,51,57,13,39,49,13,48,76,18,24,0,Player2
10,34,5,24,70,91,33,11,28,35,5,18,5,51,75,35,32,4,31,63,9,41,63,2,59,48,7,19,0,Player2
19,13,2,4,37,51,52,1,22,34,2,10,3,38,71,20,47,4,44,25,6,23,21,3,27,54,5,25,0,Player2
15,33,4,8,56,87,59,5,33,45,15,25,3,63,71,36,44,7,70,42,22,41,50,9,68,53,13,38,0,Player2
2,19,0,5,32,49,17,6,8,22,4,6,3,25,38,14,21,5,28,23,9,23,27,3,43,33,3,12,0,Player2
0,13,7,2,36,41,31,1,22,23,0,16,9,22,50,10,19,1,23,16,1,41,15,4,16,29,11,10,0,Player1
5,21,3,2,36,62,24,0,29,31,8,16,2,28,50,19,39,6,34,24,14,29,46,1,29,36,4,16,0,Player2
6,19,3,3,52,83,52,5,46,42,7,31,3,37,90,20,36,8,46,34,15,36,28,11,64,62,14,22,0,Player2
8,12,0,5,32,49,18,4,14,26,8,9,1,25,42,15,33,6,35,27,14,18,24,1,34,36,1,14,0,Player2
19,16,0,8,50,70,38,2,33,30,9,21,1,35,56,23,57,3,45,34,12,19,30,5,31,48,5,20,0,Player2
7,12,1,3,21,31,17,3,19,24,5,13,1,21,44,15,34,7,31,15,12,15,22,1,26,33,2,8,0,Player2
2,11,6,18,40,50,37,2,18,16,5,11,3,28,43,11,18,0,22,31,5,23,11,7,23,25,13,13,0,Player1
5,22,5,3,43,75,42,7,12,32,15,8,1,28,76,14,26,7,46,37,22,26,31,5,70,51,10,22,0,Player2
6,11,3,11,47,60,52,5,43,24,1,27,4,47,56,28,36,1,46,39,2,25,21,7,42,38,10,28,0,Player1
13,38,5,14,75,119,33,5,50,48,19,29,4,43,84,23,55,9,67,57,28,58,63,4,71,64,9,29,0,Player2
10,34,6,12,60,78,42,3,36,39,7,22,1,36,109,20,52,5,57,70,12,31,45,7,50,73,13,30,0,Player1
19,48,7,7,83,110,25,8,24,59,8,18,4,53,115,29,52,4,43,75,12,75,68,6,47,72,13,21,0,Player1
6,24,1,3,50,76,35,4,22,28,5,18,2,62,61,38,47,6,46,43,11,35,34,5,63,47,6,23,0,Player2
8,7,1,3,33,56,18,1,20,27,7,16,1,20,38,14,37,7,26,11,14,22,13,0,27,33,1,6,0,Player2
2,15,8,7,33,40,28,4,16,13,1,11,5,16,57,8,14,1,20,36,2,26,16,7,25,26,15,13,0,Player1
20,14,3,10,53,65,40,3,27,22,6,21,1,36,54,22,47,2,35,35,8,29,20,2,21,39,5,21,0,Player1
3,15,5,20,59,75,28,5,11,29,7,5,3,33,52,19,14,1,19,42,8,35,23,2,39,38,7,15,0,Player1
13,3,1,2,31,48,31,2,14,26,1,9,7,48,48,33,39,4,21,23,5,19,7,11,36,40,12,12,0,Player2
6,47,7,14,62,84,40,4,45,51,10,24,8,46,89,25,35,3,58,76,13,40,66,3,47,58,10,34,0,Player1
10,25,2,21,56,64,20,1,36,45,1,19,2,39,67,21,25,1,30,49,2,44,40,4,20,51,6,21,0,Player1
8,5,0,0,12,28,12,3,6,14,6,4,1,17,25,13,28,6,15,5,12,9,13,1,21,21,1,5,0,Player2
8,13,0,4,31,47,22,4,18,27,7,16,3,21,39,17,28,7,31,18,14,15,17,0,35,32,0,10,0,Player2
8,10,3,6,42,45,33,5,11,23,0,8,1,29,45,12,23,0,28,30,0,29,13,1,15,35,4,22,0,Player1
20,17,2,8,42,55,47,3,37,40,3,22,4,39,78,19,46,3,38,25,6,30,22,6,29,62,8,20,0,Player2
