@relation training

@attribute 'PLAYER1' numeric
@attribute 'PLAYER2' numeric
@attribute 'P2ACE' numeric
@attribute 'P1NETPOINTWON' numeric
@attribute 'P1BREAKPOINTWON' numeric
@attribute 'P1ACE' numeric
@attribute 'P1FIRSTSRVWON' numeric
@attribute 'P1FIRSTSRVIN' numeric
@attribute 'P2UNFERR' numeric
@attribute 'P1DOUBLEFAULT' numeric
@attribute 'P2NETPOINT' numeric
@attribute 'P1FORCEDERROR' numeric
@attribute 'P2BREAKPOINTMISSED' numeric
@attribute 'P2NETPOINTWON' numeric
@attribute 'P2DOUBLEFAULT' numeric
@attribute 'P2SECONDSRVIN' numeric
@attribute 'P2FIRSTSRVIN' numeric
@attribute 'P2SECONDSRVWON' numeric
@attribute 'P2WINNER' numeric
@attribute 'P2BREAKPOINTWON' numeric
@attribute 'P1SECONDSRVIN' numeric
@attribute 'P1WINNER' numeric
@attribute 'P2GAMESWON' numeric
@attribute 'P2BREAKPOINT' numeric
@attribute 'P2FORCEDERROR' numeric
@attribute 'P1GAMESWON' numeric
@attribute 'P1NETPOINT' numeric
@attribute 'P1BREAKPOINTMISSED' numeric
@attribute 'P1UNFERR' numeric
@attribute 'P2FIRSTSRVWON' numeric
@attribute 'P1BREAKPOINT' numeric
@attribute 'P1SECONDSRVWON' numeric
@attribute 'SURFACE' string
@attribute 'WINNER' {1,2}

@data
1,2,0,4,6,4,16,19,18,3,2,2,4,0,0,9,17,0,0,0,13,25,0,4,6,134,5,0,10,2,6,9,HARD,1
1,2,12,11,3,2,42,58,56,3,25,25,2,10,7,32,53,16,33,0,31,21,451,2,26,548,15,3,23,39,6,24,HARD,1
1,2,4,11,3,26,62,77,21,4,10,25,3,6,5,29,58,17,27,1,25,60,495,4,27,597,13,2,38,43,5,14,HARD,1
1,2,8,8,0,1,28,48,28,3,13,28,5,12,0,25,42,16,33,6,24,11,371,11,17,151,14,1,25,34,1,11,HARD,2
1,2,9,11,3,3,43,67,39,5,93,35,5,57,5,37,67,21,66,6,40,22,517,11,39,366,27,7,20,50,10,19,HARD,2
1,2,10,34,6,6,87,136,62,6,42,57,23,23,5,67,104,34,53,7,68,65,1026,30,66,1043,50,6,83,74,12,38,HARD,1
1,2,5,14,7,7,38,53,44,1,27,14,1,16,4,40,51,21,22,3,32,31,404,4,26,461,26,8,44,30,15,19,HARD,1
1,2,12,19,8,4,69,104,76,3,51,49,5,37,2,48,83,20,52,6,40,39,675,11,31,820,29,5,33,55,13,19,HARD,1
1,2,4,17,3,5,40,60,32,0,15,30,6,13,2,25,62,15,32,5,44,30,382,11,24,388,26,0,45,49,3,21,HARD,2
1,2,4,18,5,12,35,40,27,0,14,21,0,9,2,30,48,10,20,0,28,47,200,0,15,410,26,3,18,34,8,18,HARD,1
1,2,11,29,5,14,52,71,46,7,61,56,7,40,5,51,110,24,49,6,51,57,658,13,39,487,49,13,48,76,18,24,HARD,2
1,2,10,34,5,24,70,91,33,11,28,35,5,18,5,51,75,35,32,4,31,63,622,9,41,581,63,2,59,48,7,19,HARD,2
1,2,19,13,2,4,37,51,52,1,22,34,2,10,3,38,71,20,47,4,44,25,688,6,23,580,21,3,27,54,5,25,HARD,2
1,2,15,33,4,8,56,87,59,5,33,45,15,25,3,63,71,36,44,7,70,42,796,22,41,555,50,9,68,53,13,38,HARD,2
1,2,2,19,0,5,32,49,17,6,8,22,4,6,3,25,38,14,21,5,28,23,361,9,23,133,27,3,43,33,3,12,HARD,2
1,2,0,13,7,2,36,41,31,1,22,23,0,16,9,22,50,10,19,1,23,16,155,1,41,390,15,4,16,29,11,10,HARD,1
1,2,5,21,3,2,36,62,24,0,29,31,8,16,2,28,50,19,39,6,34,24,518,14,29,283,46,1,29,36,4,16,HARD,2
1,2,6,19,3,3,52,83,52,5,46,42,7,31,3,37,90,20,36,8,46,34,699,15,36,616,28,11,64,62,14,22,HARD,2
1,2,8,12,0,5,32,49,18,4,14,26,8,9,1,25,42,15,33,6,35,27,434,14,18,116,24,1,34,36,1,14,HARD,2
1,2,19,16,0,8,50,70,38,2,33,30,9,21,1,35,56,23,57,3,45,34,621,12,19,425,30,5,31,48,5,20,HARD,2
1,2,7,12,1,3,21,31,17,3,19,24,5,13,1,21,44,15,34,7,31,15,362,12,15,96,22,1,26,33,2,8,HARD,2
1,2,2,11,6,18,40,50,37,2,18,16,5,11,3,28,43,11,18,0,22,31,173,5,23,410,11,7,23,25,13,13,HARD,1
1,2,5,22,5,3,43,75,42,7,12,32,15,8,1,28,76,14,26,7,46,37,714,22,26,738,31,5,70,51,10,22,HARD,2
1,2,6,11,3,11,47,60,52,5,43,24,1,27,4,47,56,28,36,1,46,39,523,2,25,577,21,7,42,38,10,28,HARD,1
1,2,13,38,5,14,75,119,33,5,50,48,19,29,4,43,84,23,55,9,67,57,786,28,58,791,63,4,71,64,9,29,HARD,2
1,2,10,34,6,12,60,78,42,3,36,39,7,22,1,36,109,20,52,5,57,70,692,12,31,650,45,7,50,73,13,30,HARD,1
1,2,19,48,7,7,83,110,25,8,24,59,8,18,4,53,115,29,52,4,43,75,745,12,75,814,68,6,47,72,13,21,HARD,1
1,2,6,24,1,3,50,76,35,4,22,28,5,18,2,62,61,38,47,6,46,43,591,11,35,563,34,5,63,47,6,23,HARD,2
1,2,8,7,1,3,33,56,18,1,20,27,7,16,1,20,38,14,37,7,26,11,366,14,22,146,13,0,27,33,1,6,HARD,2
1,2,2,15,8,7,33,40,28,4,16,13,1,11,5,16,57,8,14,1,20,36,77,2,26,402,16,7,25,26,15,13,HARD,1
1,2,20,14,3,10,53,65,40,3,27,22,6,21,1,36,54,22,47,2,35,35,555,8,29,596,20,2,21,39,5,21,HARD,1
1,2,3,15,5,20,59,75,28,5,11,29,7,5,3,33,52,19,14,1,19,42,311,8,35,462,23,2,39,38,7,15,HARD,1
1,2,13,3,1,2,31,48,31,2,14,26,1,9,7,48,48,33,39,4,21,23,564,5,19,344,7,11,36,40,12,12,HARD,2
1,2,6,47,7,14,62,84,40,4,45,51,10,24,8,46,89,25,35,3,58,76,578,13,40,678,66,3,47,58,10,34,HARD,1
1,2,10,25,2,21,56,64,20,1,36,45,1,19,2,39,67,21,25,1,30,49,571,2,44,626,40,4,20,51,6,21,HARD,1
1,2,8,5,0,0,12,28,12,3,6,14,6,4,1,17,25,13,28,6,15,5,213,12,9,30,13,1,21,21,1,5,HARD,2
1,2,8,13,0,4,31,47,22,4,18,27,7,16,3,21,39,17,28,7,31,18,444,14,15,194,17,0,35,32,0,10,HARD,2
1,2,8,10,3,6,42,45,33,5,11,23,0,8,1,29,45,12,23,0,28,30,310,0,29,416,13,1,15,35,4,22,HARD,1
1,2,20,17,2,8,42,55,47,3,37,40,3,22,4,39,78,19,46,3,38,25,676,6,30,595,22,6,29,62,8,20,HARD,2
1,2,5,18,6,9,38,49,33,2,10,23,0,8,6,32,45,16,18,1,22,34,190,1,23,466,25,5,25,27,11,12,HARD,1
1,2,15,16,2,10,45,74,29,3,21,29,6,13,5,50,48,28,46,6,32,34,491,12,33,323,20,3,41,42,5,18,HARD,2
1,2,2,16,4,4,40,46,63,4,38,37,1,24,8,31,73,16,21,1,35,26,565,2,22,559,25,5,28,49,9,24,HARD,1
1,2,16,16,1,5,21,39,15,4,16,26,2,12,0,30,52,13,31,6,28,28,392,8,19,195,25,3,34,41,4,13,HARD,2
1,2,13,15,4,11,59,70,48,6,37,40,2,22,5,41,74,17,43,1,45,35,410,3,50,670,25,5,25,54,9,25,HARD,1
1,2,11,17,2,5,39,62,33,3,25,25,6,16,3,27,66,17,44,3,42,35,554,9,20,494,28,2,46,51,4,21,HARD,2
1,2,2,24,4,6,52,76,34,5,25,34,7,18,5,45,66,28,43,5,37,42,475,12,37,488,39,6,44,43,10,16,HARD,2
1,2,23,12,5,17,56,84,65,6,14,45,7,11,7,48,96,22,68,6,64,51,721,13,28,812,23,15,48,74,20,33,HARD,2
1,2,20,15,5,10,66,85,63,5,30,63,6,23,5,56,114,30,55,6,73,48,967,12,58,978,23,8,51,84,13,42,HARD,1
1,2,8,37,3,13,57,79,29,6,37,46,10,22,1,47,80,28,29,6,60,59,786,16,44,735,55,0,66,55,3,30,HARD,2
1,2,9,16,1,8,57,84,50,6,39,58,13,22,3,39,79,27,49,7,56,23,842,20,48,529,35,4,39,59,5,29,HARD,2
